Date,Open,High,Low,Close,Volume
2024-01-02,185.23,188.44,184.35,187.23,52345678
2024-01-03,187.15,187.90,183.89,184.25,48123456
2024-01-04,184.10,185.88,183.43,185.85,46789012
2024-01-05,185.90,186.50,183.12,183.92,44567890
2024-01-08,183.50,184.90,181.88,185.56,55234567
2024-01-09,185.12,188.00,184.68,188.00,47890123
2024-01-10,188.50,190.00,186.89,186.19,62345678
2024-01-11,186.00,186.74,184.96,185.59,48901234
2024-01-12,185.50,187.63,185.29,186.86,51234567
2024-01-16,187.10,188.50,186.12,183.63,50123456
2024-01-17,183.50,185.12,180.42,182.68,52678901
2024-01-18,183.00,184.68,182.98,188.32,56789012
2024-01-19,188.78,190.89,188.32,191.56,61234567
2024-01-22,191.90,193.00,190.34,191.83,47890123
2024-01-23,191.75,193.15,190.58,192.35,46789012
2024-01-24,192.00,194.50,191.64,194.17,58901234
2024-01-25,194.28,196.00,194.15,195.00,70123456
2024-01-26,194.94,195.30,192.58,192.42,62345678
2024-01-29,193.20,194.50,192.00,191.73,46123456
2024-01-30,192.00,194.10,191.12,193.89,47890123
2024-01-31,194.50,195.18,192.52,184.37,81234567
2024-02-01,183.00,185.00,181.55,186.86,74567890
2024-02-02,183.55,188.45,183.48,185.85,118901234
2024-02-05,185.40,187.15,184.09,187.68,51234567
2024-02-06,186.95,187.72,185.24,189.30,44567890
2024-02-07,188.99,191.22,188.64,189.41,58901234
2024-02-08,189.45,190.92,189.32,188.32,42678901
2024-02-09,188.52,189.99,188.00,188.85,48901234
2024-02-12,188.93,190.78,188.10,187.15,48901234
2024-02-13,185.77,186.82,184.21,185.04,56789012
2024-02-14,184.35,185.67,183.51,184.15,51234567
2024-02-15,183.95,186.01,183.88,183.86,45678901
2024-02-16,183.42,184.18,182.00,182.32,48901234
2024-02-20,183.26,185.54,181.85,181.56,54567890
2024-02-21,181.55,182.55,179.25,182.32,50123456
2024-02-22,183.48,185.11,183.12,184.37,54567890
2024-02-23,184.40,187.22,184.27,182.63,47890123
2024-02-26,182.66,183.65,181.57,182.63,41234567
2024-02-27,183.00,183.89,182.01,182.63,45678901
2024-02-28,182.61,183.22,180.71,181.42,58901234
2024-02-29,181.76,185.00,181.25,180.75,62345678
2024-03-01,179.55,180.53,177.38,179.66,73456789
2024-03-04,176.15,176.90,173.79,176.53,84567890
2024-03-05,170.76,172.04,169.62,170.12,94567890
2024-03-06,171.06,172.54,170.31,169.12,68901234
2024-03-07,168.67,173.84,168.67,169.00,70123456
2024-03-08,172.47,173.67,171.80,170.73,58901234
2024-03-11,171.86,173.95,171.62,172.75,51234567
2024-03-12,172.55,173.89,172.09,173.23,47890123
2024-03-13,172.77,174.30,171.67,171.13,58901234
